antecedents,consequents,support,confidence,lift
frozenset({'Chairs'}),frozenset({'Stole'}),0.034,0.265625,0.8459394904458599
frozenset({'Phones'}),frozenset({'Hankerchief'}),0.034,0.2394366197183099,0.8738562763441966
frozenset({'T-shirt'}),frozenset({'Hankerchief'}),0.036,0.2571428571428571,0.9384775808133471
frozenset({'Chairs'}),frozenset({'Hankerchief'}),0.034,0.265625,0.969434306569343
frozenset({'Furnishings'}),frozenset({'Saree'}),0.042,0.3181818181818182,1.0198135198135199
frozenset({'Skirt'}),frozenset({'Stole'}),0.036,0.3214285714285714,1.0236578707916286
frozenset({'Phones'}),frozenset({'Stole'}),0.046,0.323943661971831,1.031667713286086
frozenset({'Saree'}),frozenset({'Hankerchief'}),0.09,0.28846153846153844,1.05277933745087
frozenset({'Hankerchief'}),frozenset({'Saree'}),0.09,0.3284671532846715,1.0527793374508703
frozenset({'Furnishings'}),frozenset({'Stole'}),0.046,0.34848484848484845,1.1098243582320015
